Name,Age,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,GB/FB,LD%,GB%,FB%,HR/FB,wOBA,wRAA,wRC,WAR,wRC+,WPA,RE24,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrels,Barrel%,EV,LA,HardHit%,maxEV,xBA,xSLG,xwOBA
Tyler Stephenson,27,CIN,138,457,515,118,72,26,1,19,69,66,48,2,117,8,2,0,9,1,0,0.258,0.338,0.444,0.782,0.186,0.307,0.09300000000000001,0.22699999999999998,0.41,162,115,65,10,1948,766,1182,8,0,0,0.0141,0.19,0.474,0.336,0.165,0.339,12.1,72,3.1,113,-0.04,9.11,0.386,0.365,0.249,0.14300000000000002,0.5379999999999999,0.319,31,0.091,90.2,10.9,0.439,111.0,0.241,0.403,0.322
Nolan Arenado,33,STL,152,578,635,157,118,23,0,16,70,71,44,2,92,5,7,0,15,2,2,0.272,0.325,0.394,0.719,0.123,0.296,0.069,0.145,0.48,195,193,105,30,2455,853,1602,14,0,0,0.0101,0.213,0.396,0.391,0.083,0.314,1.8,76,3.1,102,0.52,2.05,0.465,0.35100000000000003,0.185,0.187,0.542,0.272,16,0.032,86.3,16.9,0.312,107.5,0.255,0.356,0.296
Christian Walker,33,ARI,130,479,552,120,68,26,0,26,72,84,55,4,133,10,8,0,12,2,2,0.251,0.335,0.468,0.803,0.217,0.287,0.1,0.24100000000000002,0.41,134,166,54,21,2318,894,1424,6,0,0,0.008100000000000001,0.153,0.379,0.469,0.157,0.343,14.8,79,3.0,119,0.14,6.37,0.42100000000000004,0.353,0.226,0.14400000000000002,0.469,0.387,47,0.133,91.3,16.7,0.48,113.9,0.246,0.457,0.351
Yainer Diaz,25,HOU,148,585,619,175,127,29,3,16,70,84,24,1,107,2,8,0,22,2,0,0.299,0.325,0.441,0.766,0.142,0.338,0.039,0.17300000000000001,0.22,249,128,109,11,2129,654,1475,18,0,0,0.0195,0.22399999999999998,0.512,0.263,0.125,0.329,9.3,82,3.0,116,0.23,11.97,0.409,0.379,0.212,0.11900000000000001,0.562,0.319,37,0.076,90.2,8.9,0.469,111.4,0.299,0.458,0.339
Luis Garcia Jr.,24,WSN,140,500,528,141,97,25,1,18,58,70,27,2,86,0,1,0,12,22,5,0.282,0.318,0.444,0.762,0.162,0.31,0.051,0.163,0.31,194,133,82,6,1884,618,1266,11,6,2,0.0146,0.2,0.474,0.325,0.135,0.328,7.6,69,3.0,110,1.63,15.46,0.304,0.424,0.272,0.149,0.5329999999999999,0.318,33,0.08,89.1,8.2,0.41200000000000003,110.7,0.278,0.452,0.331
Carlos Santana,38,MIN,150,521,594,124,75,26,0,23,63,71,65,3,99,6,2,0,11,4,0,0.238,0.328,0.42,0.749,0.182,0.252,0.109,0.16699999999999998,0.66,164,187,73,29,2424,963,1461,12,0,0,0.0088,0.172,0.387,0.441,0.12300000000000001,0.326,7.8,77,3.0,113,0.54,7.63,0.5329999999999999,0.302,0.165,0.198,0.467,0.335,31,0.073,89.2,16.1,0.39899999999999997,113.6,0.246,0.415,0.33
Wyatt Langford,22,TEX,134,499,557,126,81,25,4,16,74,74,51,3,115,4,3,0,6,19,3,0.253,0.325,0.415,0.74,0.162,0.296,0.092,0.20600000000000002,0.44,156,161,70,24,2257,875,1382,10,0,0,0.0097,0.18100000000000002,0.40299999999999997,0.41600000000000004,0.099,0.321,4.9,70,3.0,111,0.83,6.75,0.46799999999999997,0.305,0.22699999999999998,0.183,0.46799999999999997,0.349,36,0.09300000000000001,89.6,16.6,0.434,111.9,0.257,0.427,0.331
Willi Castro,27,MIN,158,558,635,138,90,31,5,12,89,60,51,0,150,21,4,1,8,14,9,0.247,0.331,0.385,0.717,0.138,0.315,0.08,0.23600000000000002,0.34,164,154,89,11,2511,864,1647,10,6,0,0.0106,0.21899999999999997,0.40299999999999997,0.37799999999999995,0.078,0.317,3.5,78,3.0,107,0.78,11.16,0.395,0.35100000000000003,0.254,0.15,0.5379999999999999,0.312,29,0.07,87.4,13.6,0.361,112.3,0.244,0.381,0.32
Nathaniel Lowe,28,TEX,140,486,565,129,96,16,1,16,62,69,71,1,125,4,4,0,9,2,0,0.265,0.361,0.401,0.762,0.136,0.324,0.126,0.221,0.57,174,107,84,10,2357,935,1422,14,0,0,0.0163,0.23,0.47700000000000004,0.293,0.15,0.337,12.3,78,2.9,122,0.78,21.9,0.29600000000000004,0.395,0.31,0.18100000000000002,0.523,0.29600000000000004,21,0.057999999999999996,88.9,7.7,0.395,111.8,0.252,0.38,0.328
Jonathan India,27,CIN,151,533,637,132,87,28,2,15,84,58,80,0,125,15,7,2,16,13,2,0.248,0.357,0.392,0.75,0.144,0.293,0.126,0.196,0.64,175,150,90,16,2653,1073,1580,9,2,0,0.011699999999999999,0.217,0.42200000000000004,0.361,0.1,0.333,11.9,86,2.9,109,0.48,8.44,0.42,0.376,0.204,0.17300000000000001,0.53,0.297,32,0.077,87.2,13.5,0.36200000000000004,110.8,0.266,0.412,0.352
Josh Smith,26,TEX,149,523,592,135,91,30,1,13,67,62,46,1,121,18,3,2,6,11,2,0.258,0.337,0.394,0.731,0.136,0.311,0.078,0.204,0.38,155,151,95,15,2327,829,1498,11,6,4,0.0103,0.237,0.387,0.377,0.086,0.323,6.0,75,2.9,112,0.48,11.56,0.442,0.359,0.19899999999999998,0.162,0.5720000000000001,0.265,15,0.037000000000000005,87.8,15.4,0.369,108.0,0.242,0.352,0.304
Taylor Ward,30,LAA,156,585,663,144,91,26,2,25,73,75,63,0,163,7,8,0,11,6,4,0.246,0.323,0.426,0.748,0.179,0.294,0.095,0.24600000000000002,0.39,140,194,96,10,2601,976,1625,6,0,0,0.0072,0.223,0.326,0.451,0.129,0.325,8.1,86,2.8,112,-0.38,4.3,0.34,0.349,0.312,0.091,0.509,0.4,56,0.13,90.9,17.4,0.42100000000000004,109.4,0.251,0.458,0.344
Brandon Nimmo,31,NYM,151,571,663,128,77,25,3,23,88,90,77,1,158,12,3,0,7,15,0,0.224,0.327,0.399,0.727,0.175,0.267,0.11599999999999999,0.23800000000000002,0.49,175,158,83,9,2749,1072,1677,12,0,0,0.0111,0.2,0.42100000000000004,0.38,0.146,0.321,5.5,83,2.8,109,3.73,30.12,0.382,0.368,0.25,0.132,0.512,0.35600000000000004,37,0.08900000000000001,91.9,11.2,0.474,111.5,0.244,0.408,0.335
Andres Gimenez,25,CLE,152,583,633,147,115,22,1,9,64,63,26,1,97,15,6,3,11,30,5,0.252,0.298,0.34,0.638,0.087,0.286,0.040999999999999995,0.153,0.27,245,142,100,13,2404,750,1654,24,8,3,0.0173,0.205,0.503,0.292,0.063,0.281,-14.6,59,2.8,84,-0.19,-10.3,0.4,0.34700000000000003,0.253,0.19,0.57,0.24,14,0.027999999999999997,86.3,8.6,0.285,109.6,0.262,0.355,0.296
Adley Rutschman,26,BAL,148,571,638,143,102,21,1,19,68,79,58,3,103,2,7,0,9,1,0,0.25,0.318,0.391,0.709,0.14,0.272,0.091,0.161,0.56,164,204,107,22,2594,908,1686,7,0,0,0.008,0.225,0.345,0.429,0.09300000000000001,0.309,-0.7,74,2.7,102,0.27,13.43,0.42100000000000004,0.358,0.221,0.156,0.5579999999999999,0.28600000000000003,29,0.061,88.2,18.8,0.364,109.3,0.255,0.393,0.315
Jeremy Pena,26,HOU,157,602,650,160,115,28,2,15,78,70,25,1,111,14,6,3,15,20,6,0.266,0.308,0.394,0.701,0.128,0.301,0.038,0.171,0.23,245,156,95,15,2272,722,1550,31,4,0,0.015700000000000002,0.192,0.494,0.315,0.096,0.305,-2.7,73,2.7,99,-2.2,-7.32,0.42,0.376,0.204,0.18600000000000003,0.5479999999999999,0.266,27,0.054000000000000006,88.2,7.5,0.38799999999999996,109.5,0.263,0.394,0.31
Matt Olson,30,ATL,162,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,15,0,0,0.247,0.333,0.457,0.79,0.21,0.293,0.10400000000000001,0.248,0.42,156,187,92,14,2949,1094,1855,10,0,0,0.0083,0.21100000000000002,0.359,0.43,0.155,0.339,16.1,96,2.6,118,1.08,12.34,0.386,0.354,0.26,0.149,0.49200000000000005,0.359,54,0.124,91.5,16.1,0.474,113.9,0.247,0.448,0.341
Will Smith,29,LAD,128,476,544,118,72,24,2,20,77,75,51,6,105,9,8,0,8,1,1,0.248,0.327,0.433,0.76,0.185,0.273,0.094,0.193,0.49,125,180,73,7,2273,840,1433,8,0,0,0.0069,0.193,0.331,0.47600000000000003,0.111,0.326,6.8,70,2.6,109,1.59,6.3,0.33899999999999997,0.386,0.275,0.114,0.542,0.344,41,0.10800000000000001,89.4,18.7,0.409,109.1,0.24,0.443,0.331
Brice Turang,24,MIL,155,559,619,142,107,24,4,7,72,57,50,1,105,2,3,5,8,50,6,0.254,0.316,0.349,0.665,0.095,0.3,0.081,0.17,0.48,233,116,95,10,2474,841,1633,11,18,7,0.020099999999999996,0.214,0.525,0.261,0.06,0.294,-7.9,64,2.6,89,-1.17,-4.12,0.264,0.39399999999999996,0.342,0.154,0.5870000000000001,0.26,11,0.024,87.0,6.1,0.294,107.8,0.261,0.34,0.297
Jacob Young,24,WSN,150,468,521,120,92,24,1,3,75,36,30,0,102,12,2,9,11,33,10,0.256,0.316,0.331,0.648,0.075,0.321,0.057999999999999996,0.196,0.29,180,83,79,6,1956,673,1283,9,34,11,0.0217,0.231,0.526,0.243,0.036000000000000004,0.29,-8.6,52,2.6,85,-0.71,-10.77,0.301,0.34299999999999997,0.35600000000000004,0.17300000000000001,0.622,0.205,6,0.016,85.8,4.0,0.289,106.7,0.253,0.317,0.286
Matt Vierling,27,DET,144,518,567,133,84,28,5,16,80,57,41,1,121,3,5,0,9,6,1,0.257,0.312,0.423,0.735,0.166,0.303,0.07200000000000001,0.213,0.34,168,151,80,15,2312,856,1456,13,3,0,0.0111,0.201,0.42100000000000004,0.37799999999999995,0.106,0.317,3.3,70,2.5,108,-1.24,-4.4,0.386,0.358,0.256,0.172,0.55,0.27899999999999997,30,0.075,89.7,11.7,0.39799999999999996,111.2,0.256,0.393,0.309
Heliot Ramos,24,SFG,121,475,518,128,80,23,3,22,54,72,37,2,135,2,4,0,12,6,1,0.269,0.322,0.469,0.792,0.2,0.329,0.071,0.261,0.27,148,127,69,9,2011,711,1300,15,0,0,0.011699999999999999,0.201,0.43,0.369,0.17300000000000001,0.339,11.9,73,2.3,120,1.51,17.66,0.314,0.39,0.297,0.166,0.517,0.317,50,0.145,91.5,10.4,0.474,111.8,0.25,0.481,0.338
Josh Naylor,27,CLE,152,563,633,137,79,27,0,31,84,108,58,7,105,7,4,0,17,6,2,0.243,0.32,0.456,0.776,0.213,0.246,0.092,0.166,0.55,216,167,79,18,2289,851,1438,5,0,0,0.0129,0.171,0.46799999999999997,0.361,0.18600000000000003,0.332,10.9,85,2.3,119,0.52,14.6,0.41600000000000004,0.374,0.21,0.16,0.526,0.314,39,0.084,89.9,11.0,0.408,110.9,0.257,0.443,0.335
