Name,Age,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,GB/FB,LD%,GB%,FB%,HR/FB,wOBA,wRAA,wRC,WAR,wRC+,WPA,RE24,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrels,Barrel%,EV,LA,HardHit%,maxEV,xBA,xSLG,xwOBA
Aaron Judge,32,NYY,158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322,0.458,0.701,1.159,0.379,0.367,0.18899999999999997,0.243,0.78,119,180,91,10,2887,1252,1635,10,0,0,0.0066,0.233,0.305,0.462,0.322,0.476,93.8,176,11.3,219,6.17,96.76,0.4,0.349,0.251,0.07200000000000001,0.451,0.47700000000000004,105,0.26899999999999996,96.2,18.9,0.609,117.5,0.31,0.723,0.479
Bobby Witt Jr.,24,KCR,161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.332,0.389,0.588,0.977,0.256,0.354,0.08,0.15,0.54,199,239,100,26,2602,913,1689,21,0,0,0.0083,0.18600000000000003,0.37,0.444,0.134,0.41,56.8,140,10.4,168,4.99,63.74,0.35100000000000003,0.385,0.264,0.147,0.5,0.353,77,0.14300000000000002,92.7,15.1,0.48100000000000004,116.9,0.315,0.576,0.407
Shohei Ohtani,29,LAD,159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.31,0.39,0.646,1.036,0.336,0.336,0.111,0.222,0.5,172,193,113,10,2838,1087,1751,10,1,0,0.0089,0.23600000000000002,0.36,0.40399999999999997,0.28,0.431,70.8,156,8.9,180,7.31,81.44,0.424,0.34700000000000003,0.23,0.106,0.451,0.44299999999999995,103,0.214,95.8,16.2,0.595,119.2,0.314,0.66,0.442
Juan Soto,25,NYY,157,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,10,7,4,0.288,0.419,0.569,0.989,0.281,0.298,0.18100000000000002,0.16699999999999998,1.08,199,164,93,14,2969,1306,1663,6,5,4,0.0121,0.204,0.436,0.36,0.25,0.421,63.4,147,8.2,181,5.98,69.94,0.451,0.34700000000000003,0.20199999999999999,0.126,0.445,0.43,91,0.19699999999999998,94.2,10.7,0.568,115.7,0.316,0.646,0.462
Gunnar Henderson,23,BAL,159,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,2,21,4,0.281,0.364,0.529,0.893,0.248,0.32,0.10800000000000001,0.221,0.49,222,155,98,12,2903,1137,1766,18,0,0,0.0143,0.20600000000000002,0.467,0.326,0.239,0.381,41.3,125,7.9,154,3.02,34.16,0.392,0.377,0.23199999999999998,0.135,0.43200000000000005,0.434,53,0.11199999999999999,92.8,9.2,0.539,113.1,0.283,0.492,0.374
Francisco Lindor,30,NYM,152,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,7,29,4,0.273,0.344,0.5,0.844,0.227,0.295,0.081,0.184,0.44,170,213,110,16,2716,978,1738,13,1,1,0.008,0.223,0.345,0.43200000000000005,0.155,0.363,29.2,110,7.8,138,4.44,35.04,0.45299999999999996,0.34,0.20600000000000002,0.12300000000000001,0.51,0.366,66,0.134,90.9,17.0,0.474,112.7,0.283,0.528,0.379
Jarren Duran,27,BOS,160,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,6,34,7,0.285,0.342,0.492,0.834,0.207,0.345,0.073,0.218,0.34,237,179,93,15,2848,1016,1832,20,6,1,0.0132,0.183,0.466,0.35200000000000004,0.11699999999999999,0.357,27.6,114,6.9,130,2.29,22.19,0.322,0.381,0.297,0.159,0.501,0.34,47,0.091,90.8,9.5,0.43700000000000006,113.9,0.271,0.448,0.338
Jose Ramirez,31,CLE,158,620,682,173,93,39,2,39,114,118,54,12,82,1,6,0,9,41,7,0.279,0.335,0.537,0.872,0.258,0.265,0.079,0.12,0.66,186,266,92,29,2740,977,1763,16,0,0,0.006999999999999999,0.16899999999999998,0.342,0.489,0.147,0.364,29.7,109,6.5,142,3.43,49.36,0.528,0.278,0.195,0.162,0.489,0.349,47,0.086,89.2,19.6,0.396,116.6,0.259,0.453,0.329
Elly De La Cruz,22,CIN,160,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,12,67,16,0.259,0.339,0.471,0.809,0.212,0.359,0.099,0.313,0.32,184,131,82,7,2754,1046,1708,14,6,2,0.013999999999999999,0.207,0.46299999999999997,0.33,0.191,0.349,21.5,103,6.5,119,-0.37,16.56,0.439,0.342,0.218,0.094,0.536,0.37,51,0.127,91.8,9.7,0.457,114.7,0.24,0.428,0.328
Ketel Marte,30,ARI,136,504,583,147,86,23,2,36,93,95,65,7,106,5,9,0,9,7,1,0.292,0.372,0.56,0.932,0.268,0.299,0.111,0.182,0.61,195,140,70,11,2149,823,1326,10,2,2,0.0139,0.17300000000000001,0.48100000000000004,0.34600000000000003,0.257,0.391,37.9,106,6.3,151,3.26,39.52,0.518,0.31,0.172,0.10800000000000001,0.462,0.43,50,0.12300000000000001,94.1,9.5,0.5329999999999999,117.0,0.294,0.538,0.392
William Contreras,26,MIL,155,595,679,167,105,37,2,23,99,92,78,5,139,3,3,0,19,9,2,0.281,0.365,0.466,0.831,0.185,0.33,0.115,0.205,0.56,250,133,76,12,2677,1046,1631,22,0,0,0.018799999999999997,0.166,0.545,0.29,0.17300000000000001,0.359,26.5,106,5.5,132,0.92,29.1,0.39399999999999996,0.35100000000000003,0.255,0.133,0.466,0.401,46,0.1,92.8,6.1,0.49,118.1,0.269,0.471,0.358
Matt Chapman,31,SFG,154,575,647,142,74,39,2,27,98,78,64,3,158,6,2,0,13,15,2,0.247,0.328,0.463,0.79,0.216,0.293,0.099,0.244,0.41,161,190,68,31,2710,983,1727,17,0,0,0.0085,0.162,0.384,0.45299999999999996,0.142,0.34,15.6,91,5.5,121,0.7,20.23,0.389,0.377,0.23399999999999999,0.16699999999999998,0.45799999999999996,0.375,53,0.126,93.2,16.2,0.48200000000000004,114.5,0.25,0.451,0.341
Cal Raleigh,27,SEA,153,546,628,120,70,16,0,34,73,100,70,4,176,6,6,0,7,6,1,0.22,0.312,0.436,0.748,0.216,0.251,0.111,0.28,0.4,117,195,64,25,2517,906,1611,8,0,0,0.006,0.17,0.311,0.519,0.174,0.323,6.3,80,5.5,118,1.46,18.24,0.489,0.293,0.218,0.165,0.441,0.39399999999999996,58,0.154,91.0,21.2,0.48100000000000004,113.9,0.233,0.476,0.346
Jackson Merrill,21,SDP,156,554,593,162,101,31,6,24,77,90,29,1,101,1,5,4,2,16,3,0.292,0.326,0.5,0.826,0.208,0.318,0.049,0.17,0.29,164,184,109,7,2214,728,1486,12,5,1,0.0089,0.239,0.359,0.40299999999999997,0.13,0.352,19.7,89,5.3,130,2.44,15.97,0.32899999999999996,0.413,0.258,0.12300000000000001,0.522,0.355,52,0.113,90.4,14.6,0.439,111.6,0.3,0.531,0.369
Yordan Alvarez,27,HOU,147,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,14,6,0,0.308,0.392,0.567,0.959,0.259,0.317,0.109,0.15,0.73,153,219,88,13,2271,846,1425,10,1,1,0.006999999999999999,0.191,0.33299999999999996,0.47600000000000003,0.16,0.402,46.7,121,5.2,167,3.96,45.98,0.36700000000000005,0.375,0.258,0.124,0.466,0.41,67,0.145,93.1,18.3,0.49700000000000005,117.0,0.303,0.595,0.411
Vladimir Guerrero Jr.,25,TOR,159,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,16,2,2,0.323,0.396,0.544,0.94,0.221,0.342,0.10300000000000001,0.138,0.75,252,175,97,11,2603,948,1655,10,0,0,0.0144,0.185,0.48100000000000004,0.33399999999999996,0.171,0.398,49.2,131,5.2,164,2.81,45.67,0.353,0.395,0.252,0.122,0.466,0.41200000000000003,72,0.13699999999999998,93.8,7.4,0.5479999999999999,117.6,0.321,0.567,0.408
Brent Rooker,29,OAK,145,546,614,160,93,26,2,39,82,112,59,4,177,5,4,0,5,11,3,0.293,0.365,0.562,0.927,0.269,0.362,0.096,0.28800000000000003,0.33,124,170,79,14,2378,875,1503,12,0,0,0.0073,0.212,0.332,0.456,0.22899999999999998,0.392,40.5,112,5.1,164,3.81,47.58,0.442,0.322,0.23600000000000002,0.139,0.475,0.386,62,0.166,91.9,18.9,0.496,113.4,0.266,0.557,0.38
Bryce Harper,31,PHI,145,550,631,157,85,42,0,30,85,87,76,11,138,2,2,1,18,7,4,0.285,0.373,0.525,0.898,0.24,0.331,0.12,0.21899999999999997,0.55,156,164,94,7,2474,932,1542,11,1,0,0.0095,0.22699999999999998,0.377,0.396,0.183,0.38,35.6,109,5.1,144,-0.02,28.03,0.345,0.335,0.32,0.12300000000000001,0.48200000000000004,0.395,43,0.10400000000000001,91.0,13.5,0.47200000000000003,113.8,0.267,0.474,0.357
Willy Adames,28,MIL,161,610,688,153,88,33,0,32,93,112,74,3,173,1,3,0,12,21,4,0.251,0.331,0.462,0.794,0.211,0.297,0.10800000000000001,0.251,0.43,138,219,83,25,2736,999,1737,12,0,0,0.0063,0.18899999999999997,0.314,0.498,0.146,0.342,17.6,98,4.9,121,1.2,23.18,0.452,0.336,0.21100000000000002,0.16399999999999998,0.511,0.325,53,0.12,88.6,20.6,0.405,112.3,0.243,0.461,0.339
Marcell Ozuna,33,ATL,162,606,688,183,113,31,0,39,96,104,74,2,170,3,4,0,23,1,0,0.302,0.378,0.546,0.925,0.244,0.359,0.10800000000000001,0.247,0.44,167,169,104,9,2877,1135,1742,9,0,0,0.009899999999999999,0.23600000000000002,0.38,0.384,0.231,0.395,46.7,127,4.7,155,3.59,35.14,0.475,0.327,0.198,0.139,0.461,0.4,68,0.154,92.2,14.4,0.5329999999999999,114.8,0.286,0.572,0.402
Corey Seager,30,TEX,123,475,533,132,81,21,0,30,68,74,53,11,96,3,2,0,8,1,1,0.278,0.353,0.512,0.864,0.234,0.291,0.099,0.18,0.55,157,161,63,6,1872,706,1166,6,0,0,0.0098,0.165,0.41200000000000003,0.423,0.18600000000000003,0.365,23.4,86,4.6,141,3.98,34.84,0.436,0.33899999999999997,0.226,0.087,0.48,0.433,58,0.152,92.1,13.5,0.496,113.3,0.289,0.561,0.39
Mookie Betts,31,LAD,116,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,10,16,2,0.289,0.372,0.491,0.863,0.202,0.294,0.11800000000000001,0.11,1.07,107,193,97,17,2048,812,1236,5,0,0,0.0055000000000000005,0.244,0.27,0.486,0.098,0.371,25.2,86,4.3,140,2.43,33.01,0.35,0.40299999999999997,0.247,0.141,0.531,0.327,24,0.06,89.9,21.4,0.39299999999999996,109.4,0.282,0.447,0.356
Jurickson Profar,31,SDP,158,564,668,158,105,29,0,24,94,85,76,4,101,18,5,5,14,10,3,0.28,0.38,0.459,0.839,0.179,0.302,0.114,0.151,0.75,196,176,92,14,2742,1068,1674,6,9,4,0.0111,0.198,0.42200000000000004,0.379,0.136,0.365,29.6,108,4.3,139,5.1,36.8,0.40399999999999997,0.359,0.237,0.15,0.529,0.321,34,0.07200000000000001,91.1,13.4,0.442,110.3,0.282,0.444,0.364
Rafael Devers,27,BOS,138,525,601,143,76,34,5,28,87,83,67,14,147,3,6,0,13,3,0,0.272,0.354,0.516,0.871,0.244,0.323,0.111,0.245,0.46,157,141,86,14,2380,879,1501,5,0,0,0.0111,0.22399999999999998,0.409,0.36700000000000005,0.19899999999999998,0.364,26.0,96,4.2,135,1.05,20.36,0.341,0.409,0.25,0.161,0.43,0.409,50,0.13,93.2,11.6,0.523,114.7,0.271,0.507,0.363
Steven Kwan,26,CLE,122,480,540,140,107,16,3,14,83,44,53,0,51,5,0,2,5,12,5,0.292,0.368,0.425,0.793,0.133,0.304,0.098,0.094,1.04,153,166,102,9,2167,821,1346,7,10,6,0.0092,0.242,0.363,0.39399999999999996,0.084,0.349,17.1,80,4.2,131,0.74,16.6,0.318,0.36,0.32299999999999995,0.142,0.608,0.251,11,0.026000000000000002,86.3,14.9,0.237,105.6,0.284,0.385,0.333
Corbin Carroll,23,ARI,158,589,684,136,78,22,14,22,121,74,73,0,130,10,9,3,3,35,8,0.231,0.322,0.428,0.749,0.197,0.256,0.107,0.19,0.56,206,183,78,37,2649,1040,1609,15,4,1,0.0113,0.16699999999999998,0.441,0.392,0.12,0.325,8.1,88,4.2,107,3.23,17.48,0.406,0.33799999999999997,0.257,0.204,0.465,0.331,34,0.07200000000000001,89.3,11.7,0.406,111.5,0.241,0.391,0.324
Dansby Swanson,30,CHC,149,534,593,129,84,27,2,16,82,66,54,2,144,2,3,0,7,19,3,0.242,0.312,0.39,0.701,0.148,0.3,0.091,0.243,0.38,196,131,66,11,2359,865,1494,19,0,0,0.015,0.168,0.499,0.33299999999999996,0.122,0.307,-1.7,68,4.2,98,0.51,9.69,0.461,0.35100000000000003,0.188,0.15,0.539,0.31,36,0.092,89.4,10.4,0.425,109.8,0.244,0.416,0.321
Marcus Semien,33,TEX,159,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,9,8,3,0.237,0.308,0.391,0.699,0.154,0.25,0.08900000000000001,0.146,0.61,216,232,98,32,2627,960,1667,25,0,0,0.009300000000000001,0.179,0.396,0.425,0.099,0.306,-2.5,82,4.2,100,-1.49,2.84,0.504,0.293,0.203,0.168,0.505,0.326,36,0.066,87.4,17.0,0.35200000000000004,112.1,0.251,0.391,0.313
Alex Bregman,30,HOU,145,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,13,3,1,0.26,0.315,0.453,0.768,0.193,0.264,0.069,0.136,0.51,182,226,91,29,2394,868,1526,13,0,0,0.008100000000000001,0.182,0.365,0.45299999999999996,0.115,0.331,10.5,85,4.1,117,-0.84,0.82,0.39899999999999997,0.345,0.257,0.182,0.519,0.299,31,0.062,89.1,18.1,0.401,109.1,0.257,0.417,0.319
Riley Greene,23,DET,137,512,584,134,77,27,6,24,82,74,64,3,156,5,2,0,2,4,2,0.262,0.348,0.479,0.827,0.217,0.329,0.11,0.267,0.41,156,124,78,5,2416,935,1481,6,0,0,0.0126,0.218,0.436,0.34600000000000003,0.19399999999999998,0.355,21.3,90,4.0,135,2.29,24.35,0.397,0.363,0.24,0.087,0.578,0.335,48,0.134,91.3,12.2,0.462,114.0,0.253,0.477,0.353
Jackson Chourio,20,MIL,148,528,573,145,91,29,4,21,80,79,39,4,121,3,2,1,7,22,7,0.275,0.327,0.464,0.791,0.189,0.32,0.068,0.21100000000000002,0.32,196,128,82,6,2106,708,1398,24,4,0,0.015300000000000001,0.20199999999999999,0.483,0.315,0.16399999999999998,0.339,13.1,80,4.0,119,2.54,22.27,0.363,0.40700000000000003,0.22899999999999998,0.156,0.485,0.359,32,0.078,89.7,7.6,0.446,111.6,0.274,0.43,0.328
Jazz Chisholm Jr.,26,- - -,147,562,621,144,95,21,4,24,74,73,53,5,152,4,2,0,6,40,10,0.256,0.324,0.436,0.76,0.18,0.309,0.085,0.245,0.35,198,142,65,12,2499,930,1569,15,7,4,0.0139,0.16,0.489,0.35100000000000003,0.16899999999999998,0.327,8.5,81,4.0,110,0.31,3.19,0.444,0.376,0.18,0.141,0.519,0.34,40,0.09699999999999999,89.7,11.4,0.408,110.1,0.24,0.415,0.316
Julio Rodriguez,23,SEA,143,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,10,24,5,0.273,0.325,0.409,0.734,0.136,0.344,0.062,0.254,0.24,183,145,85,12,2386,818,1568,20,0,0,0.0126,0.20600000000000002,0.44299999999999995,0.35100000000000003,0.138,0.321,5.1,77,4.0,116,1.86,11.74,0.35600000000000004,0.366,0.278,0.14300000000000002,0.49200000000000005,0.366,42,0.102,91.7,10.5,0.48200000000000004,114.5,0.275,0.463,0.344
Freddie Freeman,34,LAD,147,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,13,9,2,0.282,0.378,0.476,0.854,0.194,0.306,0.122,0.157,0.78,174,174,102,5,2524,970,1554,4,0,0,0.01,0.22699999999999998,0.387,0.387,0.126,0.365,28.3,103,3.9,136,1.67,18.94,0.353,0.336,0.311,0.124,0.551,0.324,41,0.091,89.4,14.3,0.41600000000000004,112.3,0.276,0.463,0.364
Jose Altuve,34,HOU,153,628,682,185,134,31,0,20,94,65,47,2,119,7,0,0,15,22,7,0.295,0.35,0.439,0.79,0.145,0.337,0.069,0.174,0.39,208,166,122,13,2456,832,1624,18,13,9,0.0125,0.24600000000000002,0.419,0.335,0.12,0.344,18.7,98,3.9,127,1.97,15.83,0.556,0.303,0.141,0.161,0.5539999999999999,0.285,33,0.065,86.5,14.1,0.31,108.5,0.262,0.399,0.316
Colton Cowser,24,BAL,153,499,561,121,70,24,3,24,77,69,52,2,172,7,3,0,9,9,4,0.242,0.321,0.447,0.768,0.204,0.317,0.09300000000000001,0.307,0.3,143,129,57,2,2313,848,1465,9,1,0,0.0111,0.17300000000000001,0.435,0.392,0.18600000000000003,0.331,9.6,75,3.9,118,-2.51,-8.07,0.4,0.35200000000000004,0.248,0.106,0.527,0.36700000000000005,45,0.136,90.5,13.0,0.452,113.6,0.23,0.437,0.326
