game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
776518,2025-08-31T16:10:00Z,2025-08-31,R,Final,St. Louis Cardinals,Cincinnati Reds,138,113,N,1,Brady Singer,Andre Pallante,,,4,7,9,Top,2602,Great American Ball Park,[],STL wins 2-1,Cincinnati Reds,St. Louis Cardinals,Brady Singer,Andre Pallante,Emilio Pagán,2025-08-31 - St. Louis Cardinals (4) @ Cincinnati Reds (7) (Final),
776513,2025-08-31T17:05:00Z,2025-08-31,R,Final,San Diego Padres,Minnesota Twins,135,142,N,1,Joe Ryan,David Morgan,,,2,7,9,Top,3312,Target Field,['Roku'],MIN wins 2-1,Minnesota Twins,San Diego Padres,Joe Ryan,Kyle Hart,,2025-08-31 - San Diego Padres (2) @ Minnesota Twins (7) (Final),
776517,2025-08-31T17:35:00Z,2025-08-31,R,Final,Pittsburgh Pirates,Boston Red Sox,134,111,N,1,Lucas Giolito,Mitch Keller,,,2,5,9,Top,3,Fenway Park,['MLBN (out-of-market only)'],PIT wins 2-1,Boston Red Sox,Pittsburgh Pirates,Lucas Giolito,Mitch Keller,Aroldis Chapman,2025-08-31 - Pittsburgh Pirates (2) @ Boston Red Sox (5) (Final),
776520,2025-08-31T17:35:00Z,2025-08-31,R,Final,Tampa Bay Rays,Washington Nationals,139,120,N,1,Brad Lord,Ian Seymour,,,7,4,9,Bottom,3309,Nationals Park,[],TB wins 3-0,Tampa Bay Rays,Washington Nationals,Ian Seymour,Brad Lord,Pete Fairbanks,2025-08-31 - Tampa Bay Rays (7) @ Washington Nationals (4) (Final),
776515,2025-08-31T17:37:00Z,2025-08-31,R,Final,Milwaukee Brewers,Toronto Blue Jays,158,141,N,1,Max Scherzer,Brandon Woodruff,,,4,8,9,Top,14,Rogers Centre,['MLBN (out-of-market only)'],MIL wins 2-1,Toronto Blue Jays,Milwaukee Brewers,Tommy Nance,Brandon Woodruff,,2025-08-31 - Milwaukee Brewers (4) @ Toronto Blue Jays (8) (Final),
776521,2025-08-31T17:40:00Z,2025-08-31,R,Final,Seattle Mariners,Cleveland Guardians,136,114,N,1,Tanner Bibee,Bryce Miller,,,4,2,9,Bottom,5,Progressive Field,[],CLE wins 2-1,Seattle Mariners,Cleveland Guardians,Bryce Miller,Tanner Bibee,Andrés Muñoz,2025-08-31 - Seattle Mariners (4) @ Cleveland Guardians (2) (Final),
776519,2025-08-31T17:40:00Z,2025-08-31,R,Final,Miami Marlins,New York Mets,146,121,N,1,Kodai Senga,Sandy Alcantara,,,5,1,9,Bottom,3289,Citi Field,[],MIA wins 3-1,Miami Marlins,New York Mets,Sandy Alcantara,Kodai Senga,,2025-08-31 - Miami Marlins (5) @ New York Mets (1) (Final),
776510,2025-08-31T18:10:00Z,2025-08-31,R,Final,Los Angeles Angels,Houston Astros,108,117,N,1,Hunter Brown,José Soriano,,,3,0,9,Bottom,2392,Daikin Park,[],LAA leads 2-1,Los Angeles Angels,Houston Astros,José Soriano,Hunter Brown,Kenley Jansen,2025-08-31 - Los Angeles Angels (3) @ Houston Astros (0) (Final),
776512,2025-08-31T18:10:00Z,2025-08-31,R,Final,Detroit Tigers,Kansas City Royals,116,118,N,1,Michael Wacha,Tarik Skubal,,,5,0,9,Bottom,7,Kauffman Stadium,[],DET wins 2-1,Detroit Tigers,Kansas City Royals,Tarik Skubal,Michael Wacha,,2025-08-31 - Detroit Tigers (5) @ Kansas City Royals (0) (Final),
776514,2025-08-31T18:10:00Z,2025-08-31,R,Final,New York Yankees,Chicago White Sox,147,145,N,1,Martín Pérez,Luis Gil,,,2,3,9,Top,4,Rate Field,[],NYY wins 3-1,Chicago White Sox,New York Yankees,Cam Booser,Tim Hill,Mike Vasil,2025-08-31 - New York Yankees (2) @ Chicago White Sox (3) (Final),
776511,2025-08-31T19:10:00Z,2025-08-31,R,Final,Chicago Cubs,Colorado Rockies,112,115,N,1,Tanner Gordon,Matthew Boyd,,,5,6,9,Bottom,19,Coors Field,[],CHC wins 2-1,Colorado Rockies,Chicago Cubs,Juan Mejia,Daniel Palencia,,2025-08-31 - Chicago Cubs (5) @ Colorado Rockies (6) (Final),
776507,2025-08-31T20:05:00Z,2025-08-31,R,Final,Baltimore Orioles,San Francisco Giants,110,137,N,1,Justin Verlander,Tomoyuki Sugano,,,2,13,9,Top,2395,Oracle Park,[],SF wins 2-1,San Francisco Giants,Baltimore Orioles,Justin Verlander,Tomoyuki Sugano,Spencer Bivens,2025-08-31 - Baltimore Orioles (2) @ San Francisco Giants (13) (Final),
776508,2025-08-31T20:05:00Z,2025-08-31,R,Final,Texas Rangers,Athletics,140,133,N,1,J.T. Ginn,Jacob deGrom,,,9,6,9,Bottom,2529,Sutter Health Park,[],TEX wins 3-0,Texas Rangers,Athletics,Jacob deGrom,J.T. Ginn,,2025-08-31 - Texas Rangers (9) @ Athletics (6) (Final),
776509,2025-08-31T20:10:00Z,2025-08-31,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,109,119,N,1,Yoshinobu Yamamoto,Brandon Pfaadt,,,4,5,9,Bottom,22,Dodger Stadium,[],AZ wins 2-1,Los Angeles Dodgers,Arizona Diamondbacks,Blake Treinen,John Curtiss,,2025-08-31 - Arizona Diamondbacks (4) @ Los Angeles Dodgers (5) (Final),
776522,2025-08-31T23:10:00Z,2025-08-31,R,Final,Atlanta Braves,Philadelphia Phillies,144,143,N,1,Jesús Luzardo,Hurston Waldrep,,,3,1,9,Bottom,2681,Citizens Bank Park,['ESPN'],PHI wins 3-1,Atlanta Braves,Philadelphia Phillies,Tyler Kinley,José Alvarado,Raisel Iglesias,2025-08-31 - Atlanta Braves (3) @ Philadelphia Phillies (1) (Final),
776498,2025-09-01T17:05:00Z,2025-09-01,R,Final,Miami Marlins,Washington Nationals,146,120,N,1,Andrew Alvarez,Lake Bachar,,,0,2,9,Top,3309,Nationals Park,[],WSH leads 1-0,Washington Nationals,Miami Marlins,Andrew Alvarez,Lake Bachar,Jose A. Ferrer,2025-09-01 - Miami Marlins (0) @ Washington Nationals (2) (Final),
776501,2025-09-01T17:10:00Z,2025-09-01,R,Final,New York Mets,Detroit Tigers,121,116,N,1,Charlie Morton,Sean Manaea,,,10,8,9,Bottom,2394,Comerica Park,['MLBN (out-of-market only)'],NYM leads 1-0,New York Mets,Detroit Tigers,Ryne Stanek,Drew Sommers,Edwin Díaz,2025-09-01 - New York Mets (10) @ Detroit Tigers (8) (Final),
776503,2025-09-01T17:10:00Z,2025-09-01,R,Final,Toronto Blue Jays,Cincinnati Reds,141,113,N,1,Hunter Greene,Chris Bassitt,,,4,5,9,Bottom,2602,Great American Ball Park,[],CIN leads 1-0,Cincinnati Reds,Toronto Blue Jays,Yosver Zulueta,Brendon Little,,2025-09-01 - Toronto Blue Jays (4) @ Cincinnati Reds (5) (Final),
776505,2025-09-01T17:35:00Z,2025-09-01,R,Final,Cleveland Guardians,Boston Red Sox,114,111,N,1,Brayan Bello,Parker Messick,,,4,6,9,Top,3,Fenway Park,[],BOS leads 1-0,Boston Red Sox,Cleveland Guardians,Brayan Bello,Erik Sabrowski,Aroldis Chapman,2025-09-01 - Cleveland Guardians (4) @ Boston Red Sox (6) (Final),
776499,2025-09-01T18:10:00Z,2025-09-01,R,Final,Los Angeles Angels,Houston Astros,108,117,N,1,Luis Garcia,Yusei Kikuchi,,,3,8,9,Top,2392,Daikin Park,[],Series tied 2-2,Houston Astros,Los Angeles Angels,Luis Garcia,Yusei Kikuchi,,2025-09-01 - Los Angeles Angels (3) @ Houston Astros (8) (Final),
776502,2025-09-01T18:10:00Z,2025-09-01,R,Final,Chicago White Sox,Minnesota Twins,145,142,N,1,Bailey Ober,Fraser Ellard,,,6,5,9,Bottom,3312,Target Field,[],CWS leads 1-0,Chicago White Sox,Minnesota Twins,Tyler Alexander,Justin Topa,Jordan Leasure,2025-09-01 - Chicago White Sox (6) @ Minnesota Twins (5) (Final),
776497,2025-09-01T18:15:00Z,2025-09-01,R,Final,Athletics,St. Louis Cardinals,133,138,N,1,Sonny Gray,Luis Morales,,,11,3,9,Bottom,2889,Busch Stadium,[],ATH leads 1-0,Athletics,St. Louis Cardinals,Luis Morales,Sonny Gray,,2025-09-01 - Athletics (11) @ St. Louis Cardinals (3) (Final),
776506,2025-09-01T20:05:00Z,2025-09-01,R,Final,Atlanta Braves,Chicago Cubs,144,112,N,1,Colin Rea,Spencer Strider,,,6,7,10,Bottom,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Atlanta Braves,Andrew Kittredge,John Brebbia,,2025-09-01 - Atlanta Braves (6) @ Chicago Cubs (7) (Final),
776492,2025-09-01T20:10:00Z,2025-09-01,R,Final,San Francisco Giants,Colorado Rockies,137,115,N,1,Chase Dollander,Kai-Wei Teng,,,8,2,9,Bottom,19,Coors Field,[],SF leads 1-0,San Francisco Giants,Colorado Rockies,Kai-Wei Teng,Chase Dollander,,2025-09-01 - San Francisco Giants (8) @ Colorado Rockies (2) (Final),
776500,2025-09-01T20:10:00Z,2025-09-01,R,Final,Philadelphia Phillies,Milwaukee Brewers,143,158,N,1,Jacob Misiorowski,Taijuan Walker,,,10,8,9,Bottom,32,American Family Field,['MLBN (out-of-market only)'],PHI leads 1-0,Philadelphia Phillies,Milwaukee Brewers,David Robertson,Abner Uribe,Jhoan Duran,2025-09-01 - Philadelphia Phillies (10) @ Milwaukee Brewers (8) (Final),
776494,2025-09-01T22:40:00Z,2025-09-01,R,Final,Baltimore Orioles,San Diego Padres,110,135,N,1,Dylan Cease,Kyle Bradish,,,4,3,9,Bottom,2680,Petco Park,[],BAL leads 1-0,Baltimore Orioles,San Diego Padres,Dietrich Enns,Jason Adam,Keegan Akin,2025-09-01 - Baltimore Orioles (4) @ San Diego Padres (3) (Final),
776504,2025-09-01T23:35:00Z,2025-09-01,R,Final,Seattle Mariners,Tampa Bay Rays,136,139,N,1,Shane Baz,Luis Castillo,,,2,10,9,Top,2523,George M. Steinbrenner Field,[],TB leads 1-0,Tampa Bay Rays,Seattle Mariners,Shane Baz,Luis Castillo,,2025-09-01 - Seattle Mariners (2) @ Tampa Bay Rays (10) (Final),
776495,2025-09-02T00:10:00Z,2025-09-01,R,Final,Texas Rangers,Arizona Diamondbacks,140,109,N,1,Ryne Nelson,Patrick Corbin,,,7,5,10,Bottom,15,Chase Field,['MLBN (out-of-market only)'],TEX leads 1-0,Texas Rangers,Arizona Diamondbacks,Chris Martin,Juan Burgos,Shawn Armstrong,2025-09-01 - Texas Rangers (7) @ Arizona Diamondbacks (5) (Final),
776490,2025-09-02T22:40:00Z,2025-09-02,R,Final,New York Mets,Detroit Tigers,121,116,N,1,Sawyer Gipson-Long,Nolan McLean,,,12,5,9,Bottom,2394,Comerica Park,[],NYM wins 2-0,New York Mets,Detroit Tigers,Nolan McLean,Sawyer Gipson-Long,,2025-09-02 - New York Mets (12) @ Detroit Tigers (5) (Final),
776496,2025-09-02T22:40:00Z,2025-09-02,R,Final,Los Angeles Dodgers,Pittsburgh Pirates,119,134,N,1,Carmen Mlodzinski,Clayton Kershaw,,,7,9,9,Top,31,PNC Park,[],PIT leads 1-0,Pittsburgh Pirates,Los Angeles Dodgers,Bubba Chandler,Edgardo Henriquez,Dennis Santana,2025-09-02 - Los Angeles Dodgers (7) @ Pittsburgh Pirates (9) (Final),
776491,2025-09-02T22:40:00Z,2025-09-02,R,Final,Toronto Blue Jays,Cincinnati Reds,141,113,N,1,Scott Barlow,José Berríos,,,12,9,9,Bottom,2602,Great American Ball Park,[],Series tied 1-1,Toronto Blue Jays,Cincinnati Reds,Louis Varland,Scott Barlow,Jeff Hoffman,2025-09-02 - Toronto Blue Jays (12) @ Cincinnati Reds (9) (Final),
776493,2025-09-02T22:45:00Z,2025-09-02,R,Final,Cleveland Guardians,Boston Red Sox,114,111,N,1,Garrett Crochet,Slade Cecconi,,,7,11,9,Top,3,Fenway Park,[],BOS wins 2-0,Boston Red Sox,Cleveland Guardians,Justin Slaten,Hunter Gaddis,,2025-09-02 - Cleveland Guardians (7) @ Boston Red Sox (11) (Final),
776482,2025-09-02T22:45:00Z,2025-09-02,R,Final,Miami Marlins,Washington Nationals,146,120,N,1,Cade Cavalli,Adam Mazur,,,2,5,9,Top,3309,Nationals Park,[],WSH wins 2-0,Washington Nationals,Miami Marlins,Cade Cavalli,Adam Mazur,Jose A. Ferrer,2025-09-02 - Miami Marlins (2) @ Washington Nationals (5) (Final),
776485,2025-09-02T23:35:00Z,2025-09-02,R,Final,Seattle Mariners,Tampa Bay Rays,136,139,N,1,Drew Rasmussen,Bryan Woo,,,5,6,9,Top,2523,George M. Steinbrenner Field,[],TB wins 2-0,Tampa Bay Rays,Seattle Mariners,Kevin Kelly,Gabe Speier,Garrett Cleavinger,2025-09-02 - Seattle Mariners (5) @ Tampa Bay Rays (6) (Final),
