game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_OBP,away_SLG,away_HR,away_R/G,away_BB_batting,away_SO_batting,away_IBB,temp,condition,wind,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters,home_last7_win_pct,home_streak,away_last7_win_pct,away_streak,Partly Cloudy,Clear,Sunny,Cloudy,Roof Closed,Overcast,Dome,Drizzle,Unknown,Rain,away_strea
779084,Miami Marlins,Washington Nationals,Edward Cabrera,Trevor Williams,14,7,3.53,54.0,60.0,150.0,48.0,3.13,1.228,6.21,57.0,59.0,65.0,21.0,3.1,1.536,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,73.0,0,11.0,0.8231111111111111,0.8873684210526316,18,19,0.3333333333333333,-2.0,1.0,2.0,True,False,False,False,False,False,False,False,False,False,2.0
778758,Chicago Cubs,Arizona Diamondbacks,Jameson Taillon,Joe Mantiply,2,4,3.68,53.0,54.0,98.0,27.0,3.63,1.057,15.83,17.0,17.0,8.0,3.0,2.67,3.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,80.0,2,1.0,0.7751111111111111,0.5243888888888889,18,18,1.0,5.0,0.25,1.0,False,False,True,False,False,False,False,False,False,False,1.0
778866,Los Angeles Dodgers,Seattle Mariners,Blake Snell,Luis Castillo,11,5,2.35,16.0,21.0,72.0,26.0,2.77,1.255,3.54,71.0,76.0,162.0,46.0,3.52,1.185,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,82.0,2,5.0,0.7063333333333334,0.7206111111111111,18,18,0.2,-1.0,0.5,2.0,False,False,True,False,False,False,False,False,False,False,2.0
779144,Athletics,San Francisco Giants,JP Sears,Robbie Ray,5,7,5.04,76.0,79.0,117.0,36.0,3.25,1.319,3.65,74.0,81.0,186.0,73.0,2.55,1.212,,,,,,,,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,82.0,2,1.0,0.7148,0.8470588235294118,20,17,0.3333333333333333,-1.0,0.5,-2.0,False,False,True,False,False,False,False,False,False,False,-2.0
778942,Texas Rangers,Kansas City Royals,Kumar Rocker,Seth Lugo,15,6,5.74,41.0,42.0,56.0,23.0,2.43,1.461,4.15,67.0,70.0,125.0,55.0,2.27,1.294,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,82.0,2,5.0,0.6870499999999999,0.9635263157894738,20,19,0.25,1.0,0.75,-1.0,False,False,True,False,False,False,False,False,False,False,-1.0
778832,Cleveland Guardians,Milwaukee Brewers,Luis L. Ortiz,Jacob Misiorowski,9,6,,,,,,,,4.36,32.0,34.0,87.0,31.0,2.81,1.242,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,83.0,2,2.0,0.9116666666666666,0.7355,18,18,0.3333333333333333,-1.0,0.3333333333333333,-2.0,False,False,True,False,False,False,False,False,False,False,-2.0
779021,San Diego Padres,Los Angeles Angels,Stephen Kolek,José Soriano,2,1,3.51,44.0,49.0,77.0,31.0,2.48,1.145,4.26,80.0,89.0,152.0,78.0,1.95,1.396,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,83.0,2,4.0,0.6641666666666667,0.7551666666666667,18,18,0.5,-2.0,0.6666666666666666,1.0,False,False,True,False,False,False,False,False,False,False,1.0
778805,Colorado Rockies,Chicago White Sox,Germán Márquez,Davis Martin,3,14,6.7,94.0,106.0,83.0,48.0,1.73,1.71,4.1,65.0,74.0,104.0,48.0,2.17,1.29,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,82.0,2,2.0,0.9089,0.5604444444444445,20,18,0.6,-2.0,0.0,-3.0,False,False,True,False,False,False,False,False,False,False,-3.0
778741,Washington Nationals,Houston Astros,DJ Herz,Framber Valdez,3,0,,,,,,,,3.66,78.0,82.0,187.0,68.0,2.75,1.245,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,73.0,5,7.0,0.6433333333333333,0.5270555555555556,18,18,1.0,3.0,0.4,1.0,False,False,False,False,False,True,False,False,False,False,1.0
779037,Pittsburgh Pirates,Baltimore Orioles,Bailey Falter,Tomoyuki Sugano,3,7,4.45,62.0,68.0,81.0,46.0,1.76,1.285,4.64,81.0,85.0,106.0,36.0,2.94,1.331,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,73.0,2,2.0,0.8956666666666666,0.779611111111111,18,18,0.5,-2.0,0.5,1.0,False,False,True,False,False,False,False,False,False,False,1.0
