,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_K%,home_AVG,away_ERA,away_ER,away_R,away_SO,away_K%,away_AVG,home_OBP,home_SLG,home_HR,home_R/G,home_BB,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB,away_home_SO_batting,away_home_IBB
4434,Chicago White Sox,Texas Rangers,Matt Foster,Jack Leiter,4,3,,,,,,,,,,,,,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0
4435,Milwaukee Brewers,San Francisco Giants,Freddy Peralta,Kyle Harrison,3,5,3.68,71.0,74.0,200.0,27.6,0.224,4.56,63.0,65.0,118.0,22.2,0.263,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0
4436,Milwaukee Brewers,San Francisco Giants,Freddy Peralta,Kyle Harrison,3,5,3.86,71.0,77.0,210.0,30.9,0.212,4.56,63.0,65.0,118.0,22.2,0.263,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0
4437,Colorado Rockies,Miami Marlins,Kyle Freeland,Max Meyer,2,8,5.03,87.0,96.0,94.0,13.9,0.3,,,,,,,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0
4438,Arizona Diamondbacks,New York Mets,Eduardo Rodriguez,Luis Severino,5,8,3.3,56.0,59.0,143.0,23.0,0.227,3.91,79.0,86.0,161.0,21.2,0.243,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0
4439,Los Angeles Dodgers,Baltimore Orioles,Walker Buehler,Corbin Burnes,4,6,,,,,,,3.39,73.0,77.0,200.0,25.5,0.2,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0
4440,Los Angeles Dodgers,Baltimore Orioles,Walker Buehler,Corbin Burnes,4,6,,,,,,,2.92,63.0,76.0,181.0,23.1,0.226,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0
4441,Detroit Tigers,Los Angeles Angels,Keider Montero,Jack Kochanowicz,3,0,,,,,,,,,,,,,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.301,0.369,165.0,3.92,482.0,1416.0,4.0
4442,Chicago White Sox,Texas Rangers,Nick Nastrini,Nathan Eovaldi,2,1,,,,,,,3.63,58.0,59.0,132.0,22.9,0.225,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0
4443,Chicago White Sox,Texas Rangers,Nick Nastrini,Nathan Eovaldi,2,1,,,,,,,3.8,72.0,74.0,166.0,23.9,0.229,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0
4444,Milwaukee Brewers,San Francisco Giants,Aaron Civale,Hayden Birdsong,0,6,4.36,78.0,82.0,149.0,21.6,0.252,,,,,,,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0
4445,Milwaukee Brewers,San Francisco Giants,Aaron Civale,Hayden Birdsong,0,6,3.46,47.0,47.0,116.0,23.0,0.235,,,,,,,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0
4446,St. Louis Cardinals,San Diego Padres,Sonny Gray,Michael King,1,4,2.79,57.0,59.0,183.0,24.3,0.226,2.95,57.0,71.0,201.0,27.7,0.221,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0
4447,St. Louis Cardinals,San Diego Padres,Sonny Gray,Michael King,1,4,3.84,71.0,79.0,203.0,30.3,0.228,2.95,57.0,71.0,201.0,27.7,0.221,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0
4448,Colorado Rockies,Miami Marlins,Bradley Blalock,Valente Bellozo,12,8,,,,,,,,,,,,,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0
