,game_id,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters
106,748160,0.8292777777777778,0.6647647058823529,18,17
107,748166,0.6965555555555556,0.7952222222222223,18,18
108,748159,0.8593333333333333,0.5734210526315789,18,19
109,748154,0.7099444444444445,0.6940000000000001,18,20
110,748151,0.8939999999999999,0.7046,18,20
111,748153,0.808470588235294,0.7076111111111111,17,18
112,748158,0.5585882352941177,0.6577222222222222,17,18
113,748152,0.8863333333333334,0.7953333333333332,18,18
114,748155,0.7315,0.69925,18,16
115,748163,0.9711666666666667,0.7705555555555555,18,18
116,748156,0.8858333333333334,0.907,18,18
117,748157,0.8598333333333333,0.7426666666666667,18,18
118,748150,0.8521666666666667,0.6213157894736842,18,19
119,748147,0.9012222222222223,0.6925882352941176,18,17
120,748145,0.7058333333333333,0.6376111111111111,18,18
