,game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB_batting,away_home_SO_batting,away_home_IBB,temp,condition,wind,condition_Clear,condition_Cloudy,condition_Dome,condition_Drizzle,condition_Overcast,condition_Partly Cloudy,condition_Rain,condition_Roof Closed,condition_Snow,condition_Sunny,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters
22,779103,Milwaukee Brewers,Cincinnati Reds,Carlos Rodriguez,Graham Ashcraft,7,8,,,,,,,,3.99,29.0,37.0,64.0,25.0,2.56,1.423,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,74,Sunny,"1 mph, Calm",False,False,False,False,False,False,False,False,False,True,0.8185882352941176,0.7035555555555555,17,18
23,778742,Washington Nationals,New York Mets,Shinnosuke Ogasawara,Ty Adcock,6,11,6.98,30.0,30.0,30.0,17.0,1.76,1.552,3.0,1.0,1.0,5.0,2.0,2.5,1.333,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,75,Partly Cloudy,"7 mph, In From CF",False,False,False,False,False,True,False,False,False,False,0.9091666666666666,0.6745789473684211,18,19
24,779085,St. Louis Cardinals,Houston Astros,Miles Mikolas,Spencer Arrighetti,11,6,4.84,84.0,87.0,100.0,37.0,2.7,1.318,5.35,21.0,21.0,31.0,20.0,1.55,1.415,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,76,Partly Cloudy,"9 mph, L To R",False,False,False,False,False,True,False,False,False,False,0.6982631578947368,0.6466470588235295,19,17
25,778778,Boston Red Sox,Toronto Blue Jays,Garrett Crochet,Yariel Rodríguez,8,7,2.59,59.0,62.0,255.0,46.0,5.54,1.028,3.08,25.0,26.0,66.0,34.0,1.94,1.151,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,79,Sunny,"6 mph, In From CF",False,False,False,False,False,False,False,False,False,True,0.8356111111111111,0.8525789473684211,18,19
26,779039,Pittsburgh Pirates,Minnesota Twins,Mitch Keller,David Festa,1,5,4.19,82.0,91.0,150.0,51.0,2.94,1.259,5.4,32.0,35.0,53.0,19.0,2.79,1.275,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,75,Sunny,"4 mph, Calm",False,False,False,False,False,False,False,False,False,True,0.8435555555555556,0.5508888888888889,18,18
27,778915,Philadelphia Phillies,Baltimore Orioles,Tyler Phillips,Cade Povich,7,3,2.78,24.0,26.0,52.0,24.0,2.17,1.146,5.21,65.0,70.0,118.0,43.0,2.74,1.496,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,73,Sunny,"5 mph, Out To LF",False,False,False,False,False,False,False,False,False,True,0.6462222222222223,0.6444444444444444,18,18
28,778705,Atlanta Braves,Tampa Bay Rays,Ian Anderson,Joe Rock,4,2,11.57,12.0,13.0,8.0,7.0,1.14,2.571,2.35,2.0,2.0,11.0,2.0,5.5,1.174,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,77,Sunny,"5 mph, In From CF",False,False,False,False,False,False,False,False,False,True,0.75,0.5878333333333333,19,18
29,779054,New York Yankees,Detroit Tigers,Sean Boyle,Casey Mize,4,0,,,,,,,,3.87,64.0,68.0,139.0,36.0,3.86,1.268,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,74,Sunny,"2 mph, R To L",False,False,False,False,False,False,False,False,False,True,0.5962777777777778,1.0065555555555554,18,18
30,778897,New York Mets,Miami Marlins,Max Kranick,Sandy Alcantara,1,1,3.65,15.0,15.0,25.0,5.0,5.0,1.054,5.36,104.0,107.0,142.0,57.0,2.49,1.271,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,71,Sunny,"6 mph, In From RF",False,False,False,False,False,False,False,False,False,True,0.48983333333333334,0.5138888888888888,18,18
31,778842,Cleveland Guardians,Los Angeles Angels,Ben Lively,Reid Detmers,2,14,3.22,16.0,16.0,29.0,15.0,1.93,1.187,3.96,28.0,29.0,80.0,25.0,3.2,1.304,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,75,Sunny,"5 mph, In From RF",False,False,False,False,False,False,False,False,False,True,1.1777222222222223,0.6393684210526316,18,19
